chr1	67093579	67093604	C1orf141
chr1	67096251	67096321	C1orf141
chr1	67103237	67103382	C1orf141
chr1	67111576	67111644	C1orf141
chr1	67115351	67115464	C1orf141
chr1	67125751	67125909	C1orf141
chr1	67127165	67127240	C1orf141
chr1	67093004	67093604	C1orf141
chr1	67095234	67095421	C1orf141
chr1	67096251	67096321	C1orf141
chr1	67115351	67115464	C1orf141
chr1	67125751	67125909	C1orf141
chr1	67127165	67127240	C1orf141
chr1	201283702	201283904	PKP1
chr1	201293941	201294045	PKP1
chr1	201313165	201313560	PKP1
chr1	201316552	201316697	PKP1
chr1	201317571	201317779	PKP1
chr1	201318617	201318795	PKP1
chr1	201319815	201319878	PKP1
chr1	201320266	201320381	PKP1
chr1	201321977	201322133	PKP1
chr1	201323012	201323189	PKP1
chr1	201324427	201324581	PKP1
chr1	201324940	201325127	PKP1
chr1	201325753	201325838	PKP1
chr1	201328761	201328836	PKP1
chr1	201283702	201283904	PKP1
chr1	201293941	201294045	PKP1
chr1	201313165	201313560	PKP1
chr1	201316552	201316697	PKP1
chr1	201317571	201317779	PKP1
chr1	201318617	201318795	PKP1
chr1	201320266	201320381	PKP1
chr1	201321977	201322133	PKP1
chr1	201323012	201323189	PKP1
chr1	201324427	201324581	PKP1
chr1	201324940	201325127	PKP1
chr1	201325753	201325838	PKP1
chr1	201328761	201328836	PKP1
chr1	8355086	8355120	RERE
chr1	8355418	8355599	RERE
chr1	8356099	8356246	RERE
chr1	8358195	8358916	RERE
chr1	8359763	8359986	RERE
chr1	8360111	8361490	RERE
chr1	8361762	8361876	RERE
chr1	8362682	8362844	RERE
chr1	8364055	8364255	RERE
chr1	8364745	8364838	RERE
chr1	8365811	8365974	RERE
chr1	8422726	8422807	RERE
chr1	8465924	8466023	RERE
chr1	8495062	8495162	RERE
chr1	8497404	8497529	RERE
chr1	8508626	8508675	RERE
chr1	8541213	8541318	RERE
chr1	8556474	8556571	RERE
chr1	8557417	8557523	RERE
chr1	8614560	8614686	RERE
chr1	8624309	8624380	RERE
chr1	8655972	8656297	RERE
chr1	33519517	33519677	CSMD2
chr1	33519811	33519950	CSMD2
chr1	33521462	33521550	CSMD2
chr1	33523306	33523419	CSMD2
chr1	33524881	33525043	CSMD2
chr1	33527195	33527258	CSMD2
chr1	33533049	33533229	CSMD2
chr1	33533795	33533907	CSMD2
chr1	33537021	33537095	CSMD2
chr1	33537435	33537609	CSMD2
chr1	33540524	33540698	CSMD2
chr1	33541129	33541309	CSMD2
chr1	33542719	33542896	CSMD2
chr1	33546036	33546219	CSMD2
chr1	33550176	33550350	CSMD2
chr1	33557733	33557922	CSMD2
chr1	33559299	33559473	CSMD2
chr1	33567592	33567841	CSMD2
chr1	33569373	33569547	CSMD2
chr1	33571531	33571726	CSMD2
chr1	33572505	33572691	CSMD2
chr1	33577295	33577484	CSMD2
chr1	33580752	33580899	CSMD2
chr1	33583641	33583830	CSMD2
chr1	33586503	33586617	CSMD2
chr1	33587087	33587168	CSMD2
chr1	33600864	33601010	CSMD2
chr1	33602368	33602546	CSMD2
chr1	33605281	33605470	CSMD2
chr1	33611040	33611250	CSMD2
chr1	33614503	33614620	CSMD2
chr1	33616905	33616975	CSMD2
chr1	33617498	33617617	CSMD2
chr1	33622166	33622271	CSMD2
chr1	33623369	33623466	CSMD2
chr1	33624518	33624643	CSMD2
chr1	33625050	33625254	CSMD2
chr1	33626485	33626581	CSMD2
